mag_u,mag_g,mag_r,mag_i,mag_z,redshift
22.201,22.363,20.373,19.372,18.964,0.5581
23.435,22.347,20.982,20.137,19.687,0.6165
22.078,22.403,21.174,20.139,19.652,0.5944
22.360,22.215,20.612,19.605,19.348,0.5973
23.933,21.856,20.187,19.156,18.745,0.5986
23.599,21.470,20.192,19.323,18.808,0.5061
22.809,22.207,20.578,19.546,19.068,0.6140
23.018,22.071,20.584,19.714,19.301,0.4740
22.329,22.119,20.417,19.451,18.955,0.5871
25.825,21.535,20.037,19.196,18.782,0.4623
25.288,22.556,20.809,19.791,19.235,0.5028
26.907,21.974,20.567,19.725,19.220,0.5244
23.572,21.888,20.627,19.609,19.098,0.4422
26.460,23.073,20.766,19.643,19.097,0.6141
24.367,22.385,20.730,19.745,19.403,0.5250
23.701,22.308,20.655,19.537,19.211,0.5462
25.167,22.796,20.790,19.785,19.458,0.5525
25.500,22.146,20.668,19.798,19.379,0.4743
23.937,21.573,20.083,19.180,18.678,0.5385
23.371,21.999,20.633,19.891,19.420,0.2997
23.342,22.385,20.857,19.905,19.367,0.5956
25.079,22.066,20.409,19.446,18.970,0.5123
26.735,22.238,20.601,19.573,19.136,0.6119
23.664,22.082,20.622,19.684,19.118,0.5138
23.233,22.171,20.577,19.731,19.235,0.5063
25.349,22.385,20.702,19.790,19.417,0.6377
21.626,22.548,20.772,19.575,18.914,0.6360
25.463,21.748,20.350,19.422,18.969,0.5720
22.571,21.407,19.514,18.611,18.191,0.4928
24.027,21.937,20.577,19.759,19.291,0.5020
24.006,21.982,20.693,19.837,19.520,0.4346
24.737,22.115,20.360,19.558,19.190,0.5180
23.739,21.806,20.107,19.297,18.973,0.4346
21.461,21.298,19.811,18.934,18.548,0.4920
24.315,22.632,20.898,19.749,19.209,0.5830
25.158,22.239,21.601,20.381,19.987,0.5500
24.160,21.833,20.287,19.386,18.880,0.5148
23.120,21.813,20.987,19.355,19.077,0.0004
21.421,22.166,20.116,19.173,18.787,0.5194
25.458,22.347,20.663,19.604,18.957,0.6137
25.845,21.852,20.219,19.325,18.749,0.5471
25.415,21.900,20.362,19.300,18.815,0.5492
24.578,21.870,20.075,18.973,18.447,0.5469
25.068,23.247,21.284,19.947,19.245,0.6824
24.705,22.327,20.592,19.616,19.277,0.5491
22.991,22.330,20.377,19.354,18.791,0.5928
23.828,22.910,21.077,19.938,19.378,0.5821
24.698,22.900,20.833,19.694,19.107,0.6035
24.449,22.062,20.432,19.337,18.853,0.0003
25.907,22.711,21.226,20.350,19.864,0.5013
24.502,21.921,20.316,19.548,19.041,0.4522
25.692,22.739,21.046,19.972,19.791,0.5947
23.985,21.766,20.140,19.189,18.526,0.5014
22.167,21.157,19.290,18.397,17.943,0.4740
22.710,22.245,20.716,19.673,19.180,0.5510
26.420,21.884,20.212,19.246,18.848,0.5109
22.841,22.369,20.789,19.735,19.322,0.5490
24.951,22.035,20.473,19.378,19.035,0.5912
23.081,22.007,20.323,19.273,18.950,0.5515
23.963,22.131,20.735,19.785,19.260,0.5003
24.172,22.860,21.125,20.038,19.469,0.5836
25.290,22.331,20.756,19.800,19.513,0.5202
21.627,21.572,20.168,19.361,18.823,0.4731
21.876,21.358,19.727,18.788,18.445,0.4895
24.432,21.920,20.399,19.267,18.731,0.5928
25.161,21.840,20.219,19.355,18.858,0.4899
22.873,22.428,20.869,19.735,19.538,0.5535
23.610,22.156,20.769,19.766,19.257,0.5408
24.352,22.342,20.601,19.640,19.126,0.5458
22.507,22.181,20.467,19.407,18.991,0.5754
25.657,23.001,21.418,20.182,19.518,0.5940
21.522,21.743,20.662,19.685,19.963,0.5738
26.497,22.452,20.763,19.710,19.414,0.5204
23.491,23.234,21.325,20.030,19.325,0.7511
23.040,22.151,20.726,19.884,19.168,0.5025
23.187,22.062,20.573,19.504,19.193,0.5742
22.745,22.060,20.625,19.596,19.097,0.5273
21.961,21.646,20.128,19.246,18.726,0.5004
23.023,21.234,19.772,18.937,18.550,0.4456
24.820,22.613,20.578,19.519,18.947,0.5088
24.469,22.111,20.736,19.883,19.684,0.6124
22.483,22.821,20.583,19.642,19.090,0.4925
22.625,21.971,20.712,19.716,19.694,0.6086
25.033,21.697,20.298,19.303,18.908,0.5219
22.484,21.362,19.819,18.708,18.213,0.5902
23.621,21.833,20.277,19.290,18.521,0.5124
22.820,22.613,21.378,20.497,20.250,0.6654
23.226,21.303,19.703,18.594,18.195,0.5702
25.177,22.063,20.259,19.186,18.737,0.5757
24.586,22.266,20.549,19.458,19.201,0.5714
24.054,22.194,20.523,19.719,18.832,0.5123
23.644,21.539,20.364,19.396,18.949,0.5974
22.923,21.357,19.617,18.728,18.231,0.4895
